combo_id,Gory_Images,violence_content,violence_setting,violence_style,reactions_to_violence,violence_presentation,blood_gore_level,war_setting,injury_penalties,violent_overtones,violence_setting_context,pixelated_childlike_style,reactions_to_violence_type,violence_presentation_style,blood_gore_level_associated,creatures_human_behaviour,violence_against_real_animals,violent_overtones_present,disturbing_images_explicitness,blood_unrelated_description,summary,country,rating
1,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,None,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Everyone 10+
2,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,None,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Realistic or historical war setting,North America,Everyone
3,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,None,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Everyone 10+
4,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,None,Yes,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Everyone
5,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,None,Yes,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Realistic or historical war setting | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Everyone 10+
6,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,None,Yes,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Realistic or historical war setting | Violence towards defenseless characters without penalties,North America,Everyone
7,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,None,No,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Fierce sounds or dark overtones,North America,Everyone 10+
8,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,None,No,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to,North America,Everyone
9,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,None,No,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Everyone 10+
10,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,None,No,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Violence towards defenseless characters with penalties,North America,Everyone
11,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,None,No,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Everyone 10+
12,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,None,No,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Violence towards defenseless characters without penalties,North America,Everyone
13,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Mild/Limited,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Mild/Limited blood and gore | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Teen
14,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Mild/Limited,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Mild/Limited blood and gore | Realistic or historical war setting,North America,Teen
15,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Mild/Limited,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Teen
16,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Mild/Limited,Yes,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Teen
17,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Mild/Limited,Yes,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Teen
18,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Mild/Limited,Yes,"Yes, without penalties",No,,,,,,,,,,,"App has ratings-relevant content as part of the downloaded app package | Human buttocks (rarely) | Female fantasy creatures' breasts, e.g., harpies (rarely) | Female human breasts with nipples (rarely) | Genitalia (often) | Nudity in an erotic setting or context",North America,Adults only 18+
19,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Mild/Limited,No,No,Yes,,,,,,,,,,,"App has ratings-relevant content as part of the downloaded app package | Human buttocks (rarely) | Female fantasy creatures' breasts, e.g., harpies (rarely) | Female human breasts with nipples (rarely) | Genitalia (often)",North America,Adults only 18+
20,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Mild/Limited,No,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Mild/Limited blood and gore,North America,Teen
21,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Mild/Limited,No,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Mild/Limited blood and gore | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Teen
22,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Mild/Limited,No,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Mild/Limited blood and gore | Violence towards defenseless characters with penalties,North America,Teen
23,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Mild/Limited,No,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Mild/Limited blood and gore | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Teen
24,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Mild/Limited,No,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Mild/Limited blood and gore | Violence towards defenseless characters without penalties,North America,Teen
25,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Moderate,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Moderate blood and gore | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Teen
26,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Moderate,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Moderate blood and gore | Realistic or historical war setting,North America,Teen
27,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Moderate,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Moderate blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Teen
